DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2017-May-26,12:17:00,0.00000,N,0.00000,W,6.6,26.25,1,IN,IN
2017-May-26,12:33:00,0.00000,N,0.00000,W,6.5,27.00,1,IN,IN
2017-May-26,12:49:00,0.00000,N,0.00000,W,6.5,27.25,1,IN,IN
2017-May-26,13:05:00,0.00000,N,0.00000,W,6.5,27.25,1,IN,IN
2017-May-26,13:21:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,13:37:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,13:53:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,14:09:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,14:25:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,14:41:00,0.00000,N,0.00000,W,6.5,27.50,1,IN,IN
2017-May-26,14:57:00,0.00000,N,0.00000,W,6.6,27.25,1,IN,IN
2017-May-26,15:13:00,0.00000,N,0.00000,W,6.5,27.25,1,IN,IN
2017-May-26,15:29:00,0.00000,N,0.00000,W,6.5,27.25,1,IN,IN
2017-May-26,15:45:00,0.00000,N,0.00000,W,6.5,27.00,1,IN,IN
2017-May-26,16:01:00,0.00000,N,0.00000,W,6.5,26.75,1,IN,IN
2017-May-26,16:17:00,0.00000,N,0.00000,W,6.6,26.50,1,IN,IN
2017-May-26,16:33:00,0.00000,N,0.00000,W,6.5,26.25,1,IN,IN
2017-May-26,16:49:00,0.00000,N,0.00000,W,6.5,26.00,1,IN,IN
2017-May-26,17:05:00,0.00000,N,0.00000,W,6.5,25.75,1,IN,IN
2017-May-26,17:21:00,0.00000,N,0.00000,W,6.5,25.50,1,IN,IN
2017-May-26,17:37:00,0.00000,N,0.00000,W,6.5,25.25,1,IN,IN
2017-May-26,17:53:00,0.00000,N,0.00000,W,6.6,25.00,1,IN,IN
2017-May-26,18:09:00,0.00000,N,0.00000,W,6.5,24.75,1,IN,IN
2017-May-26,18:25:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-26,18:41:00,0.00000,N,0.00000,W,6.5,24.25,1,IN,IN
2017-May-26,18:57:00,0.00000,N,0.00000,W,6.5,24.00,1,IN,IN
2017-May-26,19:13:00,0.00000,N,0.00000,W,6.5,24.00,1,IN,IN
2017-May-26,19:29:00,0.00000,N,0.00000,W,6.5,23.75,1,IN,IN
2017-May-26,19:45:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-26,20:01:00,0.00000,N,0.00000,W,6.5,22.50,1,IN,IN
2017-May-26,20:17:00,0.00000,N,0.00000,W,6.5,21.75,1,IN,IN
2017-May-26,20:33:00,0.00000,N,0.00000,W,6.5,21.25,1,IN,IN
2017-May-26,20:49:00,0.00000,N,0.00000,W,6.5,20.75,1,IN,IN
2017-May-26,21:05:00,0.00000,N,0.00000,W,6.5,20.75,1,IN,IN
2017-May-26,21:21:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-26,21:37:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-26,21:53:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-26,22:09:00,0.00000,N,0.00000,W,6.5,20.25,1,IN,IN
2017-May-26,22:25:00,0.00000,N,0.00000,W,6.6,20.25,1,IN,IN
2017-May-26,22:41:00,0.00000,N,0.00000,W,6.5,20.00,1,IN,IN
2017-May-26,22:57:00,0.00000,N,0.00000,W,6.5,19.75,1,IN,IN
2017-May-26,23:13:00,0.00000,N,0.00000,W,6.5,19.50,1,IN,IN
2017-May-26,23:29:00,0.00000,N,0.00000,W,6.5,19.50,1,IN,IN
2017-May-26,23:45:00,0.00000,N,0.00000,W,6.5,19.25,1,IN,IN
2017-May-27,00:01:00,0.00000,N,0.00000,W,6.5,19.00,1,IN,IN
2017-May-27,00:17:00,0.00000,N,0.00000,W,6.5,18.75,1,IN,IN
2017-May-27,00:33:00,0.00000,N,0.00000,W,6.5,18.75,1,IN,IN
2017-May-27,00:49:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,01:05:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,01:21:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,01:37:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,01:53:00,0.00000,N,0.00000,W,6.6,18.50,1,IN,IN
2017-May-27,02:09:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,02:25:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,02:41:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,02:57:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,03:13:00,0.00000,N,0.00000,W,6.6,18.50,1,IN,IN
2017-May-27,03:29:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-27,03:45:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,04:01:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,04:17:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,04:33:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,04:49:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,05:05:00,0.00000,N,0.00000,W,6.5,18.00,1,IN,IN
2017-May-27,05:21:00,0.00000,N,0.00000,W,6.5,18.00,1,IN,IN
2017-May-27,05:37:00,0.00000,N,0.00000,W,6.5,17.75,1,IN,IN
2017-May-27,05:53:00,0.00000,N,0.00000,W,6.5,17.75,1,IN,IN
2017-May-27,06:09:00,0.00000,N,0.00000,W,6.5,17.75,1,IN,IN
2017-May-27,06:25:00,0.00000,N,0.00000,W,6.5,17.75,1,IN,IN
2017-May-27,06:41:00,0.00000,N,0.00000,W,6.5,18.00,1,IN,IN
2017-May-27,06:57:00,0.00000,N,0.00000,W,6.5,18.00,1,IN,IN
2017-May-27,07:13:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-27,07:29:00,0.00000,N,0.00000,W,6.5,18.75,1,IN,IN
2017-May-27,07:45:00,0.00000,N,0.00000,W,6.5,19.00,1,IN,IN
2017-May-27,08:01:00,0.00000,N,0.00000,W,6.5,19.50,1,IN,IN
2017-May-27,08:17:00,0.00000,N,0.00000,W,6.5,20.00,1,IN,IN
2017-May-27,08:33:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-27,08:49:00,0.00000,N,0.00000,W,6.5,21.25,1,IN,IN
2017-May-27,09:05:00,0.00000,N,0.00000,W,6.5,21.75,1,IN,IN
2017-May-27,09:21:00,0.00000,N,0.00000,W,6.5,22.25,1,IN,IN
2017-May-27,09:37:00,0.00000,N,0.00000,W,6.5,23.00,1,IN,IN
2017-May-27,09:53:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-27,10:09:00,0.00000,N,0.00000,W,6.5,23.50,1,IN,IN
2017-May-27,10:25:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-27,10:41:00,0.00000,N,0.00000,W,6.5,23.00,1,IN,IN
2017-May-27,10:57:00,0.00000,N,0.00000,W,6.5,22.75,1,IN,IN
2017-May-27,11:13:00,0.00000,N,0.00000,W,6.5,23.00,1,IN,IN
2017-May-27,11:29:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-27,11:45:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-27,12:01:00,0.00000,N,0.00000,W,6.5,23.50,1,IN,IN
2017-May-27,12:17:00,0.00000,N,0.00000,W,6.5,23.50,1,IN,IN
2017-May-27,12:33:00,0.00000,N,0.00000,W,6.5,23.75,1,IN,IN
2017-May-27,12:49:00,0.00000,N,0.00000,W,6.5,23.75,1,IN,IN
2017-May-27,13:05:00,0.00000,N,0.00000,W,6.5,24.00,1,IN,IN
2017-May-27,13:21:00,0.00000,N,0.00000,W,6.5,24.25,1,IN,IN
2017-May-27,13:37:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-27,13:53:00,0.00000,N,0.00000,W,6.5,24.75,1,IN,IN
2017-May-27,14:09:00,0.00000,N,0.00000,W,6.5,24.75,1,IN,IN
2017-May-27,14:25:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-27,14:41:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-27,14:57:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-27,15:13:00,0.00000,N,0.00000,W,6.5,24.50,1,IN,IN
2017-May-27,15:29:00,0.00000,N,0.00000,W,6.5,24.25,1,IN,IN
2017-May-27,15:45:00,0.00000,N,0.00000,W,6.5,24.25,1,IN,IN
2017-May-27,16:01:00,0.00000,N,0.00000,W,6.5,24.00,1,IN,IN
2017-May-27,16:17:00,0.00000,N,0.00000,W,6.5,23.75,1,IN,IN
2017-May-27,16:33:00,0.00000,N,0.00000,W,6.5,23.50,1,IN,IN
2017-May-27,16:49:00,0.00000,N,0.00000,W,6.5,23.50,1,IN,IN
2017-May-27,17:05:00,0.00000,N,0.00000,W,6.5,23.25,1,IN,IN
2017-May-27,17:21:00,0.00000,N,0.00000,W,6.5,23.00,1,IN,IN
2017-May-27,17:37:00,0.00000,N,0.00000,W,6.5,23.00,1,IN,IN
2017-May-27,17:53:00,0.00000,N,0.00000,W,6.5,22.75,1,IN,IN
2017-May-27,18:09:00,0.00000,N,0.00000,W,6.5,22.75,1,IN,IN
2017-May-27,18:25:00,0.00000,N,0.00000,W,6.5,22.50,1,IN,IN
2017-May-27,18:41:00,0.00000,N,0.00000,W,6.5,22.50,1,IN,IN
2017-May-27,18:57:00,0.00000,N,0.00000,W,6.5,22.25,1,IN,IN
2017-May-27,19:13:00,0.00000,N,0.00000,W,6.5,22.00,1,IN,IN
2017-May-27,19:29:00,0.00000,N,0.00000,W,6.4,21.75,1,IN,IN
2017-May-27,19:45:00,0.00000,N,0.00000,W,6.5,21.75,1,IN,IN
2017-May-27,20:01:00,0.00000,N,0.00000,W,6.5,21.50,1,IN,IN
2017-May-27,20:17:00,0.00000,N,0.00000,W,6.5,21.50,1,IN,IN
2017-May-27,20:33:00,0.00000,N,0.00000,W,6.5,21.50,1,IN,IN
2017-May-27,20:49:00,0.00000,N,0.00000,W,6.5,21.25,1,IN,IN
2017-May-27,21:05:00,0.00000,N,0.00000,W,6.5,21.25,1,IN,IN
2017-May-27,21:21:00,0.00000,N,0.00000,W,6.5,21.25,1,IN,IN
2017-May-27,21:37:00,0.00000,N,0.00000,W,6.5,21.00,1,IN,IN
2017-May-27,21:53:00,0.00000,N,0.00000,W,6.5,21.00,1,IN,IN
2017-May-27,22:09:00,0.00000,N,0.00000,W,6.5,21.00,1,IN,IN
2017-May-27,22:25:00,0.00000,N,0.00000,W,6.4,20.75,1,IN,IN
2017-May-27,22:41:00,0.00000,N,0.00000,W,6.5,20.75,1,IN,IN
2017-May-27,22:57:00,0.00000,N,0.00000,W,6.4,20.50,1,IN,IN
2017-May-27,23:13:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-27,23:29:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-27,23:45:00,0.00000,N,0.00000,W,6.5,20.50,1,IN,IN
2017-May-28,00:01:00,0.00000,N,0.00000,W,6.4,20.50,1,IN,IN
2017-May-28,00:17:00,0.00000,N,0.00000,W,6.5,20.25,1,IN,IN
2017-May-28,00:33:00,0.00000,N,0.00000,W,6.5,20.25,1,IN,IN
2017-May-28,00:49:00,0.00000,N,0.00000,W,6.5,20.00,1,IN,IN
2017-May-28,01:05:00,0.00000,N,0.00000,W,6.5,20.00,1,IN,IN
2017-May-28,01:21:00,0.00000,N,0.00000,W,6.5,19.75,1,IN,IN
2017-May-28,01:37:00,0.00000,N,0.00000,W,6.5,19.75,1,IN,IN
2017-May-28,01:53:00,0.00000,N,0.00000,W,6.5,19.75,1,IN,IN
2017-May-28,02:09:00,0.00000,N,0.00000,W,6.5,19.50,1,IN,IN
2017-May-28,02:25:00,0.00000,N,0.00000,W,6.5,19.50,1,IN,IN
2017-May-28,02:41:00,0.00000,N,0.00000,W,6.4,19.25,1,IN,IN
2017-May-28,02:57:00,0.00000,N,0.00000,W,6.5,19.25,1,IN,IN
2017-May-28,03:13:00,0.00000,N,0.00000,W,6.4,19.00,1,IN,IN
2017-May-28,03:29:00,0.00000,N,0.00000,W,6.5,19.00,1,IN,IN
2017-May-28,03:45:00,0.00000,N,0.00000,W,6.4,18.75,1,IN,IN
2017-May-28,04:01:00,0.00000,N,0.00000,W,6.5,18.75,1,IN,IN
2017-May-28,04:17:00,0.00000,N,0.00000,W,6.4,18.50,1,IN,IN
2017-May-28,04:33:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-28,04:49:00,0.00000,N,0.00000,W,6.4,18.50,1,IN,IN
2017-May-28,05:05:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-28,05:21:00,0.00000,N,0.00000,W,6.5,18.50,1,IN,IN
2017-May-28,05:37:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-28,05:53:00,0.00000,N,0.00000,W,6.5,18.25,1,IN,IN
2017-May-28,06:09:00,0.00000,N,0.00000,W,6.4,18.25,1,IN,IN
2017-May-28,06:25:00,0.00000,N,0.00000,W,6.4,18.25,1,IN,IN
2017-May-28,06:41:00,0.00000,N,0.00000,W,6.4,18.25,1,IN,IN
2017-May-28,06:57:00,0.00000,N,0.00000,W,6.4,18.50,1,IN,IN
2017-May-28,07:13:00,0.00000,N,0.00000,W,6.4,18.75,1,IN,IN
2017-May-28,07:29:00,0.00000,N,0.00000,W,6.4,19.00,1,IN,IN
2017-May-28,07:45:00,0.00000,N,0.00000,W,6.4,19.50,1,IN,IN
2017-May-28,08:01:00,0.00000,N,0.00000,W,6.4,20.00,1,IN,IN
2017-May-28,08:17:00,0.00000,N,0.00000,W,6.4,20.75,1,IN,IN
2017-May-28,08:33:00,0.00000,N,0.00000,W,6.4,21.75,1,IN,IN
2017-May-28,08:49:00,0.00000,N,0.00000,W,6.4,23.50,1,IN,IN
2017-May-28,09:05:00,0.00000,N,0.00000,W,6.4,24.75,1,IN,IN
2017-May-28,09:21:00,0.00000,N,0.00000,W,6.4,25.50,1,IN,IN
2017-May-28,09:37:00,0.00000,N,0.00000,W,6.4,26.25,1,IN,IN
2017-May-28,09:53:00,0.00000,N,0.00000,W,6.4,27.25,1,IN,IN
2017-May-28,10:09:00,0.00000,N,0.00000,W,6.4,27.50,1,IN,IN
2017-May-28,10:25:01,0.00000,N,0.00000,W,6.4,27.00,1,IN,IN
2017-May-28,10:41:00,0.00000,N,0.00000,W,6.4,28.00,1,IN,IN
2017-May-28,10:57:00,0.00000,N,0.00000,W,6.4,29.00,1,IN,IN
2017-May-28,11:13:00,0.00000,N,0.00000,W,6.4,29.00,1,IN,IN
2017-May-28,11:29:00,0.00000,N,0.00000,W,6.4,28.00,1,IN,IN
2017-May-28,11:45:01,0.00000,N,0.00000,W,6.4,27.50,1,IN,IN
2017-May-28,12:01:00,0.00000,N,0.00000,W,6.4,27.00,1,IN,IN
